,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
21,75855,Male,Loyal Customer,43,Personal Travel,Eco,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,neutral or dissatisfied
22,106181,Male,Loyal Customer,55,Personal Travel,Eco,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,neutral or dissatisfied
23,44304,Male,Loyal Customer,25,Business travel,Business,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,satisfied
24,82602,Female,disloyal Customer,30,Business travel,Eco,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,neutral or dissatisfied
25,7823,Male,Loyal Customer,62,Personal Travel,Eco,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,neutral or dissatisfied
26,127781,Male,Loyal Customer,24,Business travel,Business,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,satisfied
27,34501,Female,Loyal Customer,22,Business travel,Eco,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,satisfied
28,121658,Male,Loyal Customer,44,Business travel,Business,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,satisfied
29,20219,Male,Loyal Customer,51,Business travel,Eco,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,neutral or dissatisfied
30,67551,Male,Loyal Customer,43,Personal Travel,Business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,neutral or dissatisfied
31,48994,Female,Loyal Customer,56,Business travel,Eco,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,satisfied
32,70811,Male,disloyal Customer,41,Business travel,Eco,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,neutral or dissatisfied
33,75241,Male,Loyal Customer,22,Personal Travel,Eco,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,neutral or dissatisfied
34,12312,Female,Loyal Customer,53,Business travel,Eco,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,satisfied
35,48372,Male,Loyal Customer,12,Personal Travel,Eco,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,neutral or dissatisfied
36,51477,Female,Loyal Customer,39,Business travel,Business,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,satisfied
37,84204,Female,Loyal Customer,55,Business travel,Business,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,satisfied
38,70990,Female,disloyal Customer,32,Business travel,Business,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,neutral or dissatisfied
39,101991,Female,Loyal Customer,40,Personal Travel,Eco,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,neutral or dissatisfied
40,87447,Female,disloyal Customer,42,Business travel,Business,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,neutral or dissatisfied
41,16112,Male,disloyal Customer,24,Business travel,Eco,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,satisfied
42,16172,Male,Loyal Customer,22,Business travel,Business,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,neutral or dissatisfied
43,106558,Female,Loyal Customer,28,Business travel,Business,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,satisfied
44,11536,Female,Loyal Customer,36,Business travel,Eco Plus,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,neutral or dissatisfied
45,47773,Female,Loyal Customer,62,Business travel,Eco,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,satisfied
46,70521,Female,Loyal Customer,60,Business travel,Business,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,satisfied
47,96283,Female,Loyal Customer,59,Personal Travel,Eco,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,neutral or dissatisfied
48,117993,Female,Loyal Customer,49,Business travel,Business,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,satisfied
49,74703,Female,Loyal Customer,44,Personal Travel,Eco,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,neutral or dissatisfied
50,110840,Female,Loyal Customer,58,Personal Travel,Eco Plus,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,neutral or dissatisfied
51,88249,Male,disloyal Customer,24,Business travel,Business,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,satisfied
52,125877,Female,Loyal Customer,53,Business travel,Eco,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,satisfied
53,83968,Male,Loyal Customer,56,Business travel,Eco,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,neutral or dissatisfied
54,122719,Female,Loyal Customer,30,Business travel,Business,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,satisfied
55,3949,Male,disloyal Customer,27,Business travel,Business,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,neutral or dissatisfied
56,45542,Male,Loyal Customer,27,Business travel,Business,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,satisfied
57,43742,Female,Loyal Customer,67,Personal Travel,Eco,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,neutral or dissatisfied
58,122093,Female,Loyal Customer,32,Personal Travel,Eco,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,neutral or dissatisfied
59,121454,Male,disloyal Customer,36,Business travel,Eco,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,neutral or dissatisfied
60,738,Male,Loyal Customer,44,Business travel,Business,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,satisfied
61,75235,Female,Loyal Customer,70,Personal Travel,Eco,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,neutral or dissatisfied
62,88653,Female,Loyal Customer,55,Personal Travel,Eco,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,neutral or dissatisfied
63,26594,Male,Loyal Customer,66,Business travel,Eco,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,satisfied
64,38339,Female,Loyal Customer,19,Business travel,Business,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,satisfied
65,46063,Female,Loyal Customer,53,Personal Travel,Eco Plus,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,neutral or dissatisfied
66,27957,Male,Loyal Customer,22,Business travel,Business,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,neutral or dissatisfied
67,17270,Female,Loyal Customer,69,Personal Travel,Eco,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,neutral or dissatisfied
68,87976,Female,Loyal Customer,42,Business travel,Business,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,satisfied
69,31640,Female,Loyal Customer,41,Business travel,Business,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,satisfied
70,41461,Female,Loyal Customer,53,Personal Travel,Business,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,neutral or dissatisfied
71,15143,Male,Loyal Customer,35,Business travel,Business,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,neutral or dissatisfied
72,78136,Female,Loyal Customer,54,Personal Travel,Business,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,neutral or dissatisfied
73,120433,Male,Loyal Customer,44,Business travel,Business,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,satisfied
74,41440,Female,disloyal Customer,26,Business travel,Eco Plus,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,neutral or dissatisfied
75,15963,Female,Loyal Customer,44,Personal Travel,Eco,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,neutral or dissatisfied
76,64303,Female,disloyal Customer,24,Business travel,Eco,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,neutral or dissatisfied
77,3608,Female,Loyal Customer,54,Personal Travel,Eco,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,neutral or dissatisfied
78,7744,Male,Loyal Customer,42,Business travel,Eco Plus,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,neutral or dissatisfied
79,21276,Male,disloyal Customer,36,Business travel,Eco,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,neutral or dissatisfied
80,58576,Female,Loyal Customer,61,Business travel,Business,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,satisfied
81,53888,Female,Loyal Customer,50,Personal Travel,Eco,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,neutral or dissatisfied
82,10980,Male,Loyal Customer,27,Business travel,Business,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,satisfied
83,54151,Male,Loyal Customer,55,Business travel,Business,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,neutral or dissatisfied
84,115641,Male,disloyal Customer,21,Business travel,Eco,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,neutral or dissatisfied
85,58584,Female,Loyal Customer,31,Personal Travel,Business,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,neutral or dissatisfied
86,50472,Female,disloyal Customer,37,Business travel,Eco,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,neutral or dissatisfied
87,102623,Female,Loyal Customer,50,Business travel,Business,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,satisfied
88,31533,Female,Loyal Customer,21,Personal Travel,Eco,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,neutral or dissatisfied
89,42287,Female,Loyal Customer,53,Business travel,Eco,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,neutral or dissatisfied
90,70467,Male,Loyal Customer,45,Business travel,Business,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,satisfied
91,20461,Female,disloyal Customer,42,Business travel,Eco,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,neutral or dissatisfied
92,113346,Male,Loyal Customer,59,Business travel,Business,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,satisfied
93,115566,Female,Loyal Customer,54,Business travel,Eco,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,neutral or dissatisfied
94,119896,Female,Loyal Customer,46,Business travel,Business,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,satisfied
95,88853,Female,Loyal Customer,52,Personal Travel,Eco Plus,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,neutral or dissatisfied
96,24895,Female,Loyal Customer,38,Personal Travel,Eco,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,neutral or dissatisfied
97,31122,Male,Loyal Customer,35,Business travel,Business,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,satisfied
